rulo 卷，卷状物，滚筒
sabato 星期六
saĝa 聪明，明智，有理智的
sako 袋，口袋
salo 盐，食盐
salono 客厅；沙龙
salti 跳
saluti 致敬
sana 健康；未变质
sango 血；血统
sankta 圣的，神圣
sata 饱，满足
savi 救，挽救
scienco 科学；自然科学
scii 知道，了解
se 如果，假如
sed 但是
seĝo 椅子
seka 干；无味，无作料的
sekretario 秘书，书记
sekso 性，性别
sekvi 跟随；遵循
semajno 星期，一周
sen 没有，无
senco 意义、含义
sendi 派出，发出，寄送
senti 觉得；感受
sep 七
septembro 九月
serĉi 寻找；探索
serio 一系列，一组；合订本
serioza 严肃，认真；重要
servi 为…服务，有用于
ses 六
sezono 季节
si 第三人称反身代词
sidi 坐着
signifi 义为；意味着；预示
signo 标记；征兆；痕迹；踪迹
silenti 沉默
simila 相似，像那样的
simpla 单一；简单
sinjoro 先生；老爷
sistemo 体系，系统，制度
situacio （常指不利的）处境，状况，局面
skatolo 盒，箱，匣
skribi 写
socio 社会
soifi 渴；渴望
sola 独自的；唯一的
soldato 士兵
solvi 溶解；解决，解答
somero 夏天
soni 发声
speciala 特别，专门；专用
speco 种类，品种
spegulo 镜子
sperta 有经验，熟练
spezo 收支
spico 香料
spiri 呼吸
spirito 精神（反：物质），灵魂
sporto 体育运动和游戏
stacio 车站，码头；站，台，局
stari 站着
stato 境况，状态；地位
stelo 星
stranga 奇怪，奇异，奇特
strato 街（道）
streĉi 拉紧，张紧；拉，压，扭
studi 研究，攻读
stulta 愚钝，呆笨
sub 在…下
subita 突然的
sudo 南，南方
suferi 忍受痛苦，痛苦；受，挨，患
sufiĉa 足够，充分
sukcesi 成功，成就
sukero 糖
sumo 和数，总合；钱数；概要
suno 太阳，阳光
super 在…上方（不接触下方物体）；高（超）过；专注于
supozi 猜想，假定，假设
supre 在高处，在上边
sur 在…上面（并与之接触）
ŝafo 绵羊
ŝajni 好象；看样子
ŝanco 机会，时机
ŝanĝi 换；改变
ŝati 喜欢，重视，器重
ŝerci 开玩笑，取笑
ŝi 她
ŝipo 船
ŝiri 撕开，撕裂；拔掉；摘
ŝlosi 锁；[~ilo]钥匙
ŝnuro 绳
ŝranko 橱，柜
ŝtato 国家、州；议会
ŝteli 偷
ŝtofo 织物，织品
ŝtono 石
ŝtrumpo 长袜
ŝtupo 台阶；阶段，（等）级
ŝuo 鞋
tablo 桌，台
tabulo 木板，板条；各种板式用具
tago 一日；白天
tamen 可是，然而
tasko 任务，工作；活儿，作业，功课
taso 杯子，天平盘，秤盘
taŭgi 适合，有价值，有用
teatro 戏院，剧院；剧团；戏剧
tegmento 屋顶，顶部
teksto 原文，本文；课文；正文
telefono 电话（机）
telero 盘、碟、盆，盘状物
televidi 看电视
temo 题目，话题，主题，题材
tempo 时间
teni 持，握；容纳
teo 茶
teorio 理论，学说
tero 地，陆地
teruro 恐惧，恐怖
tia 那样的，那种的
tial 所以，因此
tiam 那时，当时
tie 那里，在那里
tiel 那样，这么
ties 那人的，那些人的
timi 害怕
tio 那个东西，那件事
tiom 那么多，那么些
tiri 拖，拉，拽
tiu 那人；那个
tondi 剪，为…剪（毛）
tra 通过，经过，透过，穿过
tradicio 传统，惯例；口传，传说
traduki 翻译，译
trafi 命中，触及
trakti 商谈，谈判；把…当作；论述
tranĉi 砍，切，剪
trankvila 安宁；平静
trans 在…的那面
tre 很
tri 三
trinki 喝；干杯，举杯祝贺
tro 太，过分
trovi 发现，找到
truo 洞，孔，穴
tuj 立刻
tuko 一块布；巾
turismo 旅游，游览；旅游业
turisto 旅游者，观光者，游览者
turni 转动，使转到
tuŝi 碰，触
tuta 整个，全部
u [词尾]动词命令式
uj 容器
ul 具有该特点的人或物
um 含义不定的后缀
universala 通用，普遍，万能；全球，全世界
universitato （综合性）大学
unu 一
urbo 城市，都市
us [词尾]动词虚拟式
utila 有益，有利，有用
uzi 用
vagono 车厢
valida 有效，生效
valoro 价值；值
varma 热，暖和
vasta 广大，宽广，（衣服）肥大
veki 唤醒
vendi 卖，出卖
vendredo 星期五
veni 来
venki 战胜；克服
vento 风
vera 真，实在
verda 绿色，绿
verki 写作，著述，编，编纂
vespero 傍晚；晚会
vesto 服装
vetero 天气
veturi 乘，搭乘；行驶
vi 您，你们
viando （食用的）肉，肉食
vico 一列；队列
vidi 看见
vigla 活跃，精神焕发，活泼
vilaĝo 村；农村
vino 葡萄酒；酒
vintro 冬天
viro 男人；成年男子
viŝi 揩，抹；抹去
vitro 玻璃
vivi 生活，活
vizaĝo 面部，面孔
viziti 访问，拜访，参观，游览
voĉo 嗓音，话语，表决
vojaĝi 旅行
vojo 路，路子
voki 呼喊，呼唤，召唤
voli 愿意，想要
volvi 缠，绕
vorto 词，话
vosto 尾巴，尾部
zorgi 照顾，关心，操劳
